Preprocessed,Stopword
AFIDRYL adalah obat batuk untuk batuk yang berdahak dengan  Ammonium klorida Natrium sitrat Mentol dan Etanol yang terbukti ampuh menyembuhkan batuk dan gangguan pernafasan berkhasiat mencairkan lendir pada saluran pernafasan sehingga mempermudah pengeluarannya,AFIDRYL adalah batuk batuk berdahak dengan Ammonium klorida Natrium sitrat Mentol dan Etanol terbukti ampuh menyembuhkan batuk dan gangguan pernafasan berkhasiat mencairkan lendir pada saluran pernafasan sehingga mempermudah pengeluarannya
"AFIFLEX CREAM 50 G Mengatasi nyeri otot punggung persendian pundak leher pegal-pegal dan keseleo Menthol 150 miligram , Eucalyptus Oil 17 miligram Methyl Salicylate 10 miligram Champora 5 miligram 3-4 sehari Aturan Pakai Oleskan dan pijat secara perlahan pada bagian yang sakit Tube 50 gram 1 Consumer Goods PT Afiat","AFIFLEX CREAM 50 G Mengatasi nyeri otot punggung persendian pundak leher pegal-pegal dan keseleo Menthol 150 miligram , Eucalyptus Oil 17 miligram Methyl Salicylate 10 miligram Champora 5 miligram 3-4 sehari Aturan Pakai Oleskan dan pijat secara perlahan pada bagian sakit Tube 50 gram 1 Consumer Goods PT Afiat"
Golongan Obat Bebas Kelas Terapi Analgesik Non-Opioid dan Antipiretik Kandungan Paracetamol 500 miligram Bentuk Tablet Satuan Penjualan,Golongan Bebas Kelas Terapi Analgesik Non-Opioid dan Antipiretik Paracetamol 500 miligram Satuan Penjualan
Afitson merupakan balsem yang diproduksi oleh PT Afiat Afitson mengandung Methyl Salicylate Menthol dan Champulora,Afitson merupakan balsem diproduksi oleh PT Afiat Afitson mengandung Methyl Salicylate Menthol dan Champulora
AflucapsTiap kapsul mengandung Paracetamol 380 miligram Chlorphenamine maleate 2 miligram Ephedrine HCl 7 miligram,Aflucaps mengandung Paracetamol 380 miligram Chlorphenamine maleate 2 miligram Ephedrine HCl 7 miligram
"PERTANYAAN SEPUTAR AFOLAT 400 mikrogram ""Apa Kandungan Afolat 400 mikrogram "" Afolat 400 mikrogram mengandungFolic Acid yang sudah dikenal dalam ilmu kedokteran sebagaiyang efektif membantu memperkuat sel telur wanita yang belum memiliki momongan","PERTANYAAN SEPUTAR AFOLAT 400 mikrogram ""Apa Afolat 400 mikrogram "" Afolat 400 mikrogram mengandungFolic Acid sudah dikenal ilmu kedokteran efektif membantu memperkuat sel telur wanita belum memiliki momongan"
Afolat juga membantu memperbaiki kuantitas dan kualitas sel sperma suami,Afolat juga membantu memperbaiki kuantitas dan kualitas sel sperma suami
"Afomix caplet mengandung sebagai berikut Folic acid 1,000 mikrogram Vitamin B1 100 miligram Vitamin B6 100 miligram Vitamin B12 100 mikrogram DHA powder 60 miligram Amino acid 5 miligram Ginger extract 50 miligram","Afomix mengandung Folic acid 1,000 mikrogram Vitamin B1 100 miligram Vitamin B6 100 miligram Vitamin B12 100 mikrogram DHA powder 60 miligram Amino acid 5 miligram Ginger extract 50 miligram"
"Afrin – Obat Semprot Hidung Setiap mililiter mengandung 0,5 miligram oxymetazoline hydrochloride Uraian Mengandung simpatomimetik oxymetazoline hydrochloride yang memiliki efek dekongestan Indikasi","Afrin Semprot Hidung mililiter mengandung 0,5 miligram oxymetazoline hydrochloride Uraian Mengandung simpatomimetik oxymetazoline hydrochloride memiliki efek dekongestan Indikasi"
"AFRIN 0,05% NASAL SPRAY mengandung Oxymetazoline Obat ini digunakan untuk meringankan hidung tersumbat dan nasofaring akibat flu sinusitis hayfever atau alergi saluran pernapasan bagian atas Jangan digunakan selama lebih dari 3 hari berturut-turut","AFRIN 0,05% NASAL SPRAY mengandung Oxymetazoline ini digunakan meringankan hidung tersumbat dan nasofaring akibat flu sinusitis hayfever alergi saluran pernapasan bagian atas Jangan digunakan selama lebih dari 3 berturut-turut"
Obat Afucid cream mengandung Fusidic acid suatu antibiotik yang efektif untuk mengobati infeksi yang disebabkan terutama oleh bakteri gram positif seperti Staphylococcus Streptococcus Corynebacterium dan sebagian besar Clostridium Berikut ini adalah informasi lengkap obat Afucid cream yang disertai tautan,Afucid cream mengandung Fusidic acid antibiotik efektif mengobati infeksi disebabkan terutama oleh bakteri gram positif seperti Staphylococcus Streptococcus Corynebacterium dan sebagian besar Clostridium ini adalah informasi lengkap Afucid cream disertai tautan
Aggravan Tablet adalah obat yang digunakan untuk mengurangi gejala klaudikasio intermiten,Aggravan adalah digunakan mengurangi gejala klaudikasio intermiten
Obat Aggravan Tablet mengandung Cilostazol obat turunan quinolinone yang yang bekerja dengan cara menghambat fosfodiesterase-III,Aggravan mengandung Cilostazol turunan quinolinone bekerja dengan cara menghambat fosfodiesterase-III
Agrelano Tablet 75 miligram Manfaat Dosis Efek Samping Agrelano Tablet adalah obat yang digunakan untuk mengurangi risiko penyakit jantung dan stroke pada orang-orang yang berisiko tinggi Obat Agrelano Tablet mengandung Clopidogrel obat antiplatelet golongan thienopyridine,Agrelano 75 miligram Manfaat Dosis Efek Samping Agrelano adalah digunakan mengurangi risiko penyakit jantung dan stroke pada orang-orang berisiko tinggi Agrelano mengandung Clopidogrel antiplatelet golongan thienopyridine
AGRIPPIN SIRUP 60 ML Meredakan gejala flu yang disertai dengan demam dan alergi Deskripsi Paracetamol Phenylpropanolamine Chlorpheniramine Maleate Anak-anak 2-6 tahun diminum 3-4 kali sehari 5-10 mililiter Anak-anak 7-12 tahun diminum 3-4 kali sehari 10-15 mililiter Sesudah makan Dus Botol 60 mililiter -Penderita asma Item lainnya,AGRIPPIN SIRUP 60 ML Meredakan gejala flu disertai dengan demam dan alergi Paracetamol Phenylpropanolamine Chlorpheniramine Maleate Anak-anak 2-6 tahun diminum 3-4 kali sehari 5-10 mililiter Anak-anak 7-12 tahun diminum 3-4 kali sehari 10-15 mililiter Sesudah makan Botol 60 mililiter -Penderita asma Item lainnya
"AgrylinGolongan Obat Keras Kelas Terapi Antikoagulan Antiplatelet Fibrinolitik Trombolitik Kandungan Anagrelide HCl 0,5 miligram Bentuk Kapsul Kemasan Botol 100 Tablet Farmasi PT Fahrenheit","AgrylinGolongan Keras Kelas Terapi Antikoagulan Antiplatelet Fibrinolitik Trombolitik Anagrelide HCl 0,5 miligram Botol 100 Farmasi PT Fahrenheit"
"AHFCGolongan Jamu Kelas Terapi Hepatitis Suplemen Hati Hepatoprotektor Liver Hati Kandungan ekstrak radix astragallus 300 miligram ekstrak radix salviae miltiorrhizae 500 miligram ekstrak radix Rupleurum 200 miligram dan ekstrak caulis spatholobus 50 miligram Bentuk Serbuk Satuan Penjualan Sachet Kemasan Sachet 3,5 gram Item lainnya","AHFCGolongan Jamu Kelas Terapi Hepatitis Suplemen Hati Hepatoprotektor Liver Hati ekstrak radix astragallus 300 miligram ekstrak radix salviae miltiorrhizae 500 miligram ekstrak radix Rupleurum 200 miligram dan ekstrak caulis spatholobus 50 miligram Serbuk Satuan Penjualan 3,5 gram Item lainnya"
" Tiap mililiter mengandung Tetrahydrozoline HCl 0,5 miligram dalam larutan buffer isotonis","mililiter mengandung Tetrahydrozoline HCl 0,5 miligram larutan buffer isotonis"
"Airborne mengandung Vitamin C 1000 miligram bahan herbal pilihan Echinacea dan ginseng , sumber magnesium Zinc Manganese dan Selenium","Airborne mengandung Vitamin C 1000 miligram bahan herbal pilihan Echinacea dan ginseng , sumber magnesium Zinc Manganese dan Selenium"
Airborne membantu menjaga daya tahan tubuh kita dari serangan penyakit bakteri dan virus yang menyerang daya tahan tubuh kita setiap hari,Airborne membantu menjaga daya tahan tubuh kita dari serangan penyakit bakteri dan virus menyerang daya tahan tubuh kita
Aito adalah obat tetes mata yang diproduksi oleh Sandai Farma,Aito adalah tetes mata diproduksi oleh Sandai Farma
Aito mengandung Zinc sulfat asam borat ephedrine HCl yang digunakan untuk meredakan iritasi pada mata,Aito mengandung Zinc sulfat asam borat ephedrine HCl digunakan meredakan iritasi pada mata
AKILEN EAR DROP 5 MLOtitis media supuratif dan otitis eksterna Deskripsi,AKILEN EAR DROP 5 MLOtitis media supuratif dan otitis eksterna
Per mililiter Mengandung 3 miligram Ofloxacin PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER,Per mililiter Mengandung 3 miligram Ofloxacin PENGGUNAAN INI HARUS SESUAI DENGAN PETUNJUK DOKTER
Teteskan pada telinga yang sakit Dus Botol 5 mililiter hipersensitif Item lainnya,Teteskan pada telinga sakit Botol 5 mililiter hipersensitif Item lainnya
Tiap kemasan obat Akita mengandung sebagai berikut Attapulgite 600 miligram Pectin 50 miligram,Akita mengandung Attapulgite 600 miligram Pectin 50 miligram
Aknil adalah obat yang digunakan untuk meredakan demam sakit kepala sakit gigi sakit pada telinga nyeri haid dan nyeri ringan lainnya,Aknil adalah digunakan meredakan demam sakit kepala sakit gigi sakit pada telinga nyeri haid dan nyeri ringan lainnya
Aknil mengandung paracetamol obat yang digunakan sebagai analgetik dan antipiretik dan ibuprofen obat yang termasuk dalam golongan OAINS .,Aknil mengandung paracetamol digunakan analgetik dan antipiretik dan ibuprofen termasuk golongan OAINS .
"Tiap 5 mililiter Akta Vol Syrup mengandung sebagai berikut Vitamin A 4,000 unit-internasional Vitamin B1 2,5 miligram Vitamin B2 2,5 miligram Vitamin B6 0,75 miligram Nicotinamide 15 miligram Panthenol 5 miligram Vitamin C 60 miligram Vitamin D 200 unit-internasional Item lainnya","5 mililiter Akta Vol mengandung Vitamin A 4,000 unit-internasional Vitamin B1 2,5 miligram Vitamin B2 2,5 miligram Vitamin B6 0,75 miligram Nicotinamide 15 miligram Panthenol 5 miligram Vitamin C 60 miligram Vitamin D 200 unit-internasional Item lainnya"
Mengenai AktoralinGolongan Obat keras Kemasan Botol 250 kapsul 500 miligram Kandungan Ampicillin trihidrat setara ampicillin anhidrat 500 miligram kapsul,Mengenai AktoralinGolongan keras Botol 250 500 miligram Ampicillin trihidrat setara ampicillin anhidrat 500 miligram
ALA 600 6 KAPLET,ALA 600 6 KAPLET
"Kapsul lunak yang mengandung Ginseng G115, 11 Vitamin 8 mineral dilengkapi dengan DMAE yang efektif mengurangi rasa letih meningkatka","lunak mengandung Ginseng G115, 11 Vitamin 8 mineral dilengkapi dengan DMAE efektif mengurangi rasa letih meningkatka"
ALABETIC Stripe 6 KAPSUL Indikasi Kegunaan Digunakan sebagai suplemen untuk diabetes melitus Kandungan  Tiap kapsul mengandung alpha-lipoic acid 300 miligram folic acid 400 mikrogram cyanocobalamin vitamin B12 100 mikrogram Dosis Dewasa 1 kapsul sekali sehari Cara Pemakaian,ALABETIC Stripe 6 Indikasi Kegunaan Digunakan suplemen melitus mengandung alpha-lipoic acid 300 miligram folic acid 400 mikrogram cyanocobalamin vitamin B12 100 mikrogram Dosis Dewasa 1 sekali sehari Cara Pemakaian
 Jangan digunakan oleh Item lainnya,Jangan digunakan oleh Item lainnya
ALAXAN FR TABLET Shopee Indonesia  Ibuprofen 200 miligram paracetamol 325 miligram INDIKASI Meredakan nyeri otot sakit kepala sakit gigi dismenore primer menurunkan demam DOSIS Dws 1 kapsul 3-4 hari,ALAXAN FR Ibuprofen 200 miligram paracetamol 325 miligram INDIKASI Meredakan nyeri otot sakit kepala sakit gigi dismenore primer menurunkan demam DOSIS Dws 1 3-4
Albapure 20 adalah serum parenteral yang digunakan untuk keseimbangan elektrolit hipoproteinemia dengan edema shock hipovolemia hipoalbuminemia atau pada pasien luka bakar yang parah,Albapure 20 adalah serum parenteral digunakan keseimbangan elektrolit hipoproteinemia dengan edema shock hipovolemia hipoalbuminemia pada pasien luka bakar parah
Obat ini mengandung Human albumin albumin serum yang ditemukan dalam darah manusia,ini mengandung Human albumin albumin serum ditemukan darah manusia
Albavance F adalah obat berbentuk krim untuk bekas jerawat yang diproduksi oleh Immortal Pharmaceutical Lab,Albavance F adalah berbentuk krim bekas jerawat diproduksi oleh Immortal Pharmaceutical Lab
Albavance F mengandung Fluocinolone acetonide hydroquinone tretinoin yang digunakan untuk menyamarkan bekas jerawat menyamarkan flek hitam di wajah serta dapat digunakan untuk mencerahkan wajah,Albavance F mengandung Fluocinolone acetonide hydroquinone tretinoin digunakan menyamarkan bekas jerawat menyamarkan flek hitam di wajah serta dapat digunakan mencerahkan wajah
Albendazole adalah obat untuk mengatasi infeksi larva cacing di antaranya,Albendazole adalah mengatasi infeksi larva cacing di antaranya
Meningkatnya kadar albendazole dalam darah jika dikonsumsi,Meningkatnya albendazole darah jika dikonsumsi
Manfaat Mengatasi infeksi akibat parasit cacing Golongan Antihelmintik Bentuk obat Tablet suspensi Kategori Obat resep,Manfaat Mengatasi infeksi akibat parasit cacing Golongan Antihelmintik suspensi Kategori resep
Selain itu Albibet Al Biruni juga membantu meningkatkan imunitas tubuh,Selain itu Albibet Al Biruni juga membantu meningkatkan imunitas tubuh
Golongan Jamu Kelas Terapi Herbal Kandungan Nigella ativae semen,Golongan Jamu Kelas Terapi Herbal Nigella ativae semen
Albikoles Al Biruni merupakan obat herbal tradisional untuk mengurangi kadar kolesterol yang memformulasikan bahan-bahan herbal alami berkhasiat tinggi,Albikoles Al Biruni merupakan herbal tradisional mengurangi kolesterol memformulasikan bahan-bahan herbal alami berkhasiat tinggi
Albiotin 300 miligram Kapsul adalah obat antibiotik untuk mengobati infeksi serius yang disebabkan oleh bakteri anaerob atau bakteri aerob gram positif yang rentan,Albiotin 300 miligram adalah antibiotik mengobati infeksi serius disebabkan oleh bakteri anaerob bakteri aerob gram positif rentan
Albiotin 300 miligram Kapsul mengandung Clindamycin antibiotik golongan lincosamida semisintetik yang terutama bersifat bakteriostatik,Albiotin 300 miligram mengandung Clindamycin antibiotik golongan lincosamida semisintetik terutama bersifat bakteriostatik
BPOM membekukan izin edar Albothyl yang policresulen konsentrat,BPOM membekukan izin edar Albothyl policresulen konsentrat
Ini penjelasan dokter kandungan policresulen konsentrat dalam Albothyl,Ini penjelasan dokter policresulen konsentrat Albothyl
"ALBUFORCE CAPSULE Albuforce Hakase merupakan ekstrak Channa striata Ophiocephalus striatus yang memiliki kandungan nutrisi yang sangat kompleks secara alami yaitu Protein Albumin Omega 3, Omega 6, Omega 9, Vitamin Mineral Asam Lemak serta 15 macam asam amino termasuk 5 asam amino esensial","ALBUFORCE CAPSULE Albuforce Hakase merupakan ekstrak Channa striata Ophiocephalus striatus memiliki nutrisi sangat kompleks secara alami yaitu Protein Albumin Omega 3, Omega 6, Omega 9, Vitamin Mineral Asam Lemak serta 15 macam asam amino termasuk 5 asam amino esensial"
Albuman 20 adalah serum parenteral yang digunakan untuk keseimbangan elektrolit hipoproteinemia kadar protein dalam darah di bawah kisaran normal,Albuman 20 adalah serum parenteral digunakan keseimbangan elektrolit hipoproteinemia protein darah di bawah kisaran normal
Informasi terlengkap tentang ALBUMAS 30 KAPSUL,Informasi terlengkap tentang ALBUMAS 30
Albuminar-25 Manfaat Dosis Efek Samping Albuminar-25 adalah serum parenteral yang digunakan untuk keseimbangan elektrolit hipoproteinemia dengan edema shock hipovolemia hipoalbuminemia atau pada pasien luka bakar yang parah Obat ini mengandung Human albumin albumin serum yang ditemukan dalam darah manusia,Albuminar-25 Manfaat Dosis Efek Samping Albuminar-25 adalah serum parenteral digunakan keseimbangan elektrolit hipoproteinemia dengan edema shock hipovolemia hipoalbuminemia pada pasien luka bakar parah ini mengandung Human albumin albumin serum ditemukan darah manusia
"Albusmin Kapsul mengandung Protein dan Albumin serta mengandung mineral penting lainnya yang dibutuhkan tubuh seperti Omega 3, Omega 6, Omega 9, Kalsium Fosfor Magnesium dan Asam Amino","Albusmin mengandung Protein dan Albumin serta mengandung mineral penting lainnya dibutuhkan tubuh seperti Omega 3, Omega 6, Omega 9, Kalsium Fosfor Magnesium dan Asam Amino"
Protein dan Albumin merupakan salah satu nutrisi yang diperlukan oleh tubuh dalam proses penyembuhan,Protein dan Albumin merupakan salah satu nutrisi diperlukan oleh tubuh proses penyembuhan
Albuvit mengandung Natrium Sulfacetamide termasuk dalam golongan antibiotik yang digunakan untuk mengatasi gejala infeksi yang disebabkan oleh bakteri,Albuvit mengandung Natrium Sulfacetamide termasuk golongan antibiotik digunakan mengatasi gejala infeksi disebabkan oleh bakteri
Golongan Obat Keras Kelas Terapi Antihistamin dan Antialergi Kandungan Cetirizine 10 miligram Bentuk Tablet Satuan Penjualan Stripe Kemasan,Golongan Keras Kelas Terapi Antihistamin dan Antialergi Cetirizine 10 miligram Satuan Penjualan Stripe
Kemasan dos 240 kapsul 60 mililiter syrup Kandungan Kloramfenikol 250 miligram kapsul 125 miligram 5 mililiter syrup Manfaat alchlor Alchlor,dos 240 60 mililiter Kloramfenikol 250 miligram 125 miligram 5 mililiter Manfaat alchlor Alchlor
ALCO PLUS SIRUP 100 ML Meredakan gejala bersin-bersin dan hidung tersumbat karena Flu Deskripsi,ALCO PLUS SIRUP 100 ML Meredakan gejala bersin-bersin dan hidung tersumbat karena Flu
"Per 5 mililiter Pseudoephedrine HCl 30 miligram Brompheniramine maleate 2 miligram Dewasa dan anak >12 tahun 1 sendok takar 5 mililiter Anak 6-12 tahun 0,5 sendok takar 5 mililiter Anak 2-6 tahun 0,25 sendok takar 5 mililiter Semua dosis diberikan 3 sehari Item lainnya","Per 5 mililiter Pseudoephedrine HCl 30 miligram Brompheniramine maleate 2 miligram Dewasa dan anak >12 tahun 1 sendok takar 5 mililiter Anak 6-12 tahun 0,5 sendok takar 5 mililiter Anak 2-6 tahun 0,25 sendok takar 5 mililiter Semua dosis diberikan 3 sehari Item lainnya"
